txn_id,account_id,merchant_id,txn_date,amount,description
T0001983,A00044,M008,2024-02-18,$(115.68),PURCHASE 539103
T0002619,A00051,M011,04/24/2025,-155.12,PURCHASE 416162
T0001240,A00088,,,-151.52,PURCHASE 354778
T0000258,A00015,M011,02/07/2025, (37.42) ,PURCHASE 911414
T0001940,A00022,M018,2025-03-21, (101.93) ,PURCHASE 606231
T0001526,A00054,M022,04-Oct-2024,-50.50,PURCHASE 207957
T0000466,A00082,M003,06/17/2024,-264.04,  PURCHASE 450541  
T0002966,A00040,M013,06/18/24, $-335.60 ,PURCHASE 140162
T0000398,A00087,M030,04/27/25,-353.77,PURCHASE 630930
T0000909,A00054,M025,2024-06-09,$-133.97,  PURCHASE 714969  
T0000857,A00068,M031,2025-02-02,-51.53,PURCHASE 297488
T0001287,A00091,M013,2025-04-29,$-29.38,PURCHASE 938108
T0000684,A00018,M024,07/29/2024,-342.20,PURCHASE 678190
T0001354,A00080,M031,03/03/2024,"3,650.84",PAYROLL DEP 683303
T0001956,A00028,M023,03-Jan-2025,$-374.03,PURCHASE 704116
T0000953,A00056,M021,2024-12-11,-340.59,PURCHASE 457983
T0001523,A00034,M010,08/31/24,$-289.52,PURCHASE 538878
T0001599,A00047,M013,2025-03-31,-338.26,PURCHASE 520244
T0001903,A00048,M021,2024-05-03,$-52.13,PURCHASE 472865
T0000661,A00040,M025,07-Jan-2024,$(367.84),PURCHASE 449682
T0002071,A00024,M004,05/12/2024,(152.56),  PURCHASE 839329  
T0002174,A00030,M028,01/28/24,(383.75),PURCHASE 325960
T0000429,A00058,M020,26-Jun-2024,-208.24,PURCHASE 119011
T0000168,A00071,,2025-04-08,-277.77,PURCHASE 492052
T0001196,A00093,M015,05/06/2024,-403.46,PURCHASE 707418
T0000664,A00074,M001,28-Jul-2024,$(350.25),PURCHASE 960116
T0001341,A00063,M031,03/04/2024,"3,153.57",PAYROLL DEP 338171
T0000131,A00084,M027,2024-08-20,-164.42,PURCHASE 347088
T0001212,A00090,M005,29-Sep-2024, $-254.52 ,PURCHASE 377174
T0001228,A00040,M002,31-Mar-2025,-289.37,PURCHASE 430434
T0002376,A00090,M001,08-Jun-2025,-311.37,PURCHASE 716179
T0001245,A00010,,07-May-2024,$-206.84,PURCHASE 557735
T0001772,A00040,M015,07/04/2024, -237.01 ,  PURCHASE 117469  
T0001622,A00088,M028,,$-276.41,PURCHASE 612181
T0002973,A00067,M023,11/16/2024,-175.68,PURCHASE 502457
T0000353,A00056,M012,02/05/24,-64.69,PURCHASE 623676
T0002018,A00066,M031,2025-02-17,"2,364.17",PAYROLL DEP 879677
T0000125,A00027,M016,19-Jan-2025,$-331.90,PURCHASE 135035
T0001911,A00017,M012,06/06/2024,(310.69),PURCHASE 991070
T0000483,A00050,M026,2025-03-18,(210.48),PURCHASE 186422
T0002033,A00045,M029,2025-04-20,-237.12,PURCHASE 641866
T0003051,A00009,M006,16-Sep-2024,-394.48,PURCHASE 440213
T0001838,A00076,M001,03/02/2025,(258.49),PURCHASE 841009
T0000981,A00078,M009,25-Apr-2025,-243.63,PURCHASE 263156
T0002682,A00091,M005,01/23/25,-378.94,PURCHASE 401874
T0000337,A00051,M004,2024-11-29,-139.00,PURCHASE 593869
T0002574,A00081,M028,2024-12-17,-176.31,PURCHASE 304428
T0002302,A00054,M017,2024-11-06,$-20.89,PURCHASE 941934
T0000490,A00043,M031,2024-06-30,"$4,142.68",PAYROLL DEP 344359
T0003106,A00014,M021,, $-220.47 ,PURCHASE 538663
T0002028,A00015,M007,05/30/2025,-31.86,PURCHASE 429989
T0002401,A00082,M024,21-Mar-2025,-338.11,PURCHASE 552035
T0002847,A00001,M015,2025-06-22,$(37.51),PURCHASE 262585
T0000256,A00016,M014,12/22/24,$-176.69,  PURCHASE 111989  
T0000533,A00019,M004,29-May-2025,-117.03,PURCHASE 495007
T0001054,A00077,M018,2024-04-21,$-293.82,PURCHASE 739731
T0001298,A00056,,20-Feb-2024,$-197.30,PURCHASE 807181
T0000946,A00084,M002,03/02/2024,(366.07),PURCHASE 735894
T0001266,A00047,M027,11/09/24,-145.48,PURCHASE 516363
T0002225,A00051,M014,2024-10-19,(327.72),  PURCHASE 156177  
T0000615,A00037,,03/30/24,$-40.38,PURCHASE 671194
T0002770,A00090,M008,27-May-2025,-329.36,PURCHASE 988737
T0002223,A00079,M001,04/01/24,-99.37,PURCHASE 441053
T0001469,A00033,M013,2025-05-03,$-315.57,  PURCHASE 774721  
T0001451,A00002,M026,02/04/25,-417.21,PURCHASE 798751
T0000810,A00004,M031,05/20/24,-186.33,PURCHASE 498895
T0002689,A00093,M020,05-Mar-2024,-126.16,PURCHASE 892373
T0000693,A00029,M015,2024-11-17,-77.98,PURCHASE 254037
T0002768,A00053,M001,07/05/24,-401.47,PURCHASE 377034
T0002589,A00080,M008,05/30/25,-14.97,PURCHASE 989840
T0000159,A00045,M002,2024-10-30,$(44.62),  PURCHASE 874415  
T0001744,A00018,M031,04/23/2025,-384.67,PURCHASE 769944
T0003135,A00063,M002,08/16/24,-327.05,PURCHASE 642001
T0000996,A00030,M026,04-Jan-2025,(259.40),PURCHASE 254985
T0000063,A00079,M022,01/19/2025,$-247.31,PURCHASE 380989
T0001936,A00037,M025,2025-06-29,-380.42,PURCHASE 820528
T0002582,A00030,M024,11-Mar-2025,(249.17),PURCHASE 886381
T0002436,A00067,M018,2024-10-14,-377.81,PURCHASE 810238
T0002515,A00077,M011,14-May-2024, $-103.32 ,  PURCHASE 428591  
T0003212,A99999,M025,24-Apr-2025,-47.43,PURCHASE ORPHAN
T0002985,A00085,M030,11/23/24,-125.41,PURCHASE 677336
T0003128,A00050,M013,07/29/2024,$-17.17,PURCHASE 181990
T0001166,A00055,M030,16-Feb-2024,-178.82,PURCHASE 741522
T0000262,A00089,M001,11/08/2024,-141.39,PURCHASE 753306
T0002026,A00075,M031,06/12/2025,-360.73,PURCHASE 190097
T0000505,A00040,M001,2025-05-08,-256.76,PURCHASE 113937
T0002108,A00050,M002,04/14/2025,-417.50,PURCHASE 260592
T0001853,A00051,M026,2024-09-27,-236.93,PURCHASE 567353
T0000401,A00083,M007,12/01/2024,-38.19,PURCHASE 121741
T0001606,A00090,M016,03/08/2024,-251.69,PURCHASE 385984
T0002931,A00075,M031,2024-04-24,(286.71),  PURCHASE 736889  
T0001047,A00029,M002,02/10/2024,-172.61,  PURCHASE 117819  
T0002256,A00085,M029,02/03/25,(253.44),  PURCHASE 245735  
T0001776,A00072,M026,11/30/24,-290.89,PURCHASE 485329
T0003014,A00079,M007,03-Mar-2024, $-121.61 ,PURCHASE 264586
T0002664,A00018,M007,07/26/24,-416.87,  PURCHASE 608420  
T0001304,A00066,M016,26-Feb-2025, $-336.75 ,PURCHASE 694212
T0001273,A00073,M002,04-Mar-2024,$-388.73,PURCHASE 125780
T0002564,A00039,M018,2025-03-22,$-172.11,PURCHASE 969750
T0002422,A00043,M026,2024-08-23, -391.52 ,PURCHASE 869628
T0002792,A00080,M010,04/05/24,-205.12,PURCHASE 652760
T0001842,A00021,M010,24-Aug-2024,$-55.88,PURCHASE 637277
T0002962,A00009,M006,2025-04-29,-214.38,PURCHASE 606664
T0001405,A00037,M011,2025-05-21,(401.37),PURCHASE 298712
T0002681,A00070,M029,2024-07-06,$(5.56),PURCHASE 308930
T0000455,A00025,M031,07-Apr-2025,"4,562.99",PAYROLL DEP 605608
T0001486,A00093,M019,10/01/2024,-87.71,  PURCHASE 568019  
T0001483,A00056,M008,2024-07-17,-83.38,PURCHASE 107594
T0002183,A00069,M030,01/23/2025,$-110.67,PURCHASE 990548
T0001123,A00060,M006,02/24/2024,$-302.53,PURCHASE 564412
T0003181,A00043,M007,08/03/24,$-144.63,PURCHASE 550653
T0000248,A00056,M027,2025-05-18,(36.34),PURCHASE 486996
T0000669,A00064,M022,12-Oct-2024,-129.32,  PURCHASE 790982  
T0002891,A00008,M017,2024-09-11,-409.55,PURCHASE 336130
T0001951,A00081,M031,01/26/25,"$2,116.96",PAYROLL DEP 436341
T0001107,A00083,M008,2024-10-21,-6.17,PURCHASE 178129
T0001655,A00017,M005,2025-06-15,(358.65),PURCHASE 293136
T0002123,A00043,M009,12/30/24,-140.90,PURCHASE 355314
T0000814,A00048,,16-Feb-2024,$-76.96,PURCHASE 725165
T0002974,A00047,M015,2024-01-06,-371.45,  PURCHASE 160487  
T0002611,A00071,M015,2025-06-03,$-195.69,PURCHASE 686509
T0001736,A00088,M015,08/10/24, (136.32) ,PURCHASE 641400
T0001734,A00016,M016,2024-10-25,-146.86,PURCHASE 151157
T0002901,A00035,M002,14-Jan-2025,-201.83,PURCHASE 233146
T0001584,A00081,M020,01/01/2024,$(81.77),PURCHASE 618671
T0001015,A00008,M031,2024-09-27,$(237.02),PURCHASE 208919
T0001620,A00029,M018,08/03/2024,-216.39,PURCHASE 517955
T0001080,A00059,M004,2024-03-05,$-350.66,  PURCHASE 451106  
T0000324,A00045,M001,03/12/24,$-163.30,  PURCHASE 449636  
T0002644,A00054,M001,01/05/2025,$-194.82,PURCHASE 614204
T0001555,A00027,M003,20-Dec-2024,-306.96,PURCHASE 749230
T0002014,A00015,M024,02/02/2024,-303.21,PURCHASE 520962
T0001552,A00019,,10/08/2024,-232.33,PURCHASE 536189
T0002494,A00077,M022,03/22/24,$-206.58,PURCHASE 863582
T0003040,A00043,M005,2024-04-22,$(148.77),PURCHASE 555671
T0000096,A00030,M005,2025-01-04,-164.31,  PURCHASE 907788  
T0002354,A00033,M016,27-May-2025,$-377.90,  PURCHASE 851477  
T0002519,A00067,M011,2025-05-16,-110.28,PURCHASE 436058
T0000997,A00010,M031,20-Jul-2024,-307.94,  PURCHASE 578608  
T0001045,A00050,M031,01/27/2024,"1,966.10",PAYROLL DEP 859063
T0001419,A00038,,04/02/2024, -172.38 ,  PURCHASE 877395  
T0000484,A00041,M012,04/10/2024,(18.96),PURCHASE 816742
T0001337,A00020,M004,08/10/24,-120.35,PURCHASE 217353
T0000186,A00053,M009,02/25/24,$-235.72,PURCHASE 554059
T0001980,A00042,M019,04/23/25,$-174.82,PURCHASE 173494
T0002298,A00038,M013,03/31/2025,$-163.55,PURCHASE 470758
T0000399,A00029,M001,30-Nov-2024,,PURCHASE 309794
T0002650,A00041,M009,02/03/2024,-46.63,PURCHASE 329674
T0002468,A00073,M030,11-Feb-2024,$(165.40),  PURCHASE 228733  
T0000464,A00088,M011,02/23/2024,-183.37,  PURCHASE 895891  
T0001261,A00062,M023,14-Nov-2024,$-38.29,PURCHASE 351052
T0000402,A00050,M028,07/22/24, $-73.37 ,PURCHASE 694797
T0000226,A00080,M021,2024-07-22,-273.69,PURCHASE 872303
T0000668,A00014,M028,01-Jan-2025, -212.84 ,PURCHASE 468959
T0001764,A00002,M014,11/11/24,-255.87,PURCHASE 208890
T0002932,A00080,M020,03/16/2024, $-201.67 ,PURCHASE 122161
T0001765,A00049,M016,10-Apr-2024,-169.02,  PURCHASE 347660  
T0000682,A00034,M024,2024-01-11,$-316.82,  PURCHASE 362062  
T0002489,A00056,M004,16-Dec-2024, $-61.79 ,PURCHASE 105095
T0000648,A00030,M001,04/30/25,(77.02),PURCHASE 596846
T0002104,A00025,M018,2024-11-27,(226.28),PURCHASE 258047
T0001990,A00063,M023,01/17/24, -408.07 ,PURCHASE 426908
T0000930,A00048,M013,01/17/25,-221.14,PURCHASE 211596
T0000815,A00092,M006,2024-06-10,-393.43,PURCHASE 214705
T0002758,A00010,M025,10-Mar-2024,-240.48,PURCHASE 702083
T0002670,A00044,M026,10/14/24,$-300.21,PURCHASE 901417
T0000768,A00018,M002,2024-09-06,-159.06,PURCHASE 390302
T0000195,A00029,M018,2024-09-23,$-199.87,PURCHASE 405134
T0000329,A00047,M021,2024-02-16,(57.43),PURCHASE 278980
T0001634,A00027,M019,17-Sep-2024,-183.50,PURCHASE 987681
T0000036,A00040,M005,2024-04-07,(202.10),PURCHASE 445637
T0002913,A00053,M021,2025-05-24,-183.49,PURCHASE 506091
T0000343,A00045,M015,,-324.86,PURCHASE 764170
T0000341,A00024,M029,2024-06-01,(5.12),PURCHASE 656921
T0001495,A00058,M030,06/21/2024, -93.37 ,PURCHASE 276971
T0000986,A00023,M011,2024-12-10,$(250.47),PURCHASE 549359
T0001196,A00093,M015,05/06/2024,-403.46,PURCHASE 707418
T0000439,A00019,M021,2025-06-17,-69.73,PURCHASE 861800
T0000521,A00073,M019,2024-03-06,$-100.90,  PURCHASE 797640  
T0000454,A00025,M014,05/08/24,-188.97,PURCHASE 276358
T0000057,A00073,M031,20-Oct-2024,"4,564.73",PAYROLL DEP 256130
T0001456,A00011,M013,2025-02-01,-300.29,PURCHASE 676665
T0003203,A99999,M015,06/25/2025, $(11.88) ,PURCHASE ORPHAN
T0001254,A00012,M003,06/14/2024,-176.35,PURCHASE 737658
T0000061,A00085,M010,2025-02-11,-70.74,PURCHASE 892313
T0001792,A00024,M008,03/01/24,-37.96,PURCHASE 452349
T0001310,A00012,M029,11/17/24, -61.74 ,PURCHASE 785578
T0002035,A00019,M027,07/21/24,$-415.93,PURCHASE 701604
T0000610,A00025,M022,07/22/2024,-244.23,PURCHASE 868738
T0000205,A00020,M003,05/30/25,-204.09,PURCHASE 780768
T0001972,A00087,M031,04-Jan-2025,-116.25,PURCHASE 158252
T0001041,A00091,M011,2024-03-23, -195.19 ,PURCHASE 128648
T0001702,A00014,M010,02/11/2025,$-194.75,PURCHASE 657322
T0002688,A00029,M027,01/04/2024,(68.85),PURCHASE 600408
T0002173,A00093,M020,10-Feb-2025,$-105.40,PURCHASE 617107
T0000228,A00084,M020,10/25/2024,-271.82,PURCHASE 572161
T0000316,A00090,M026,01/13/24, -190.16 ,PURCHASE 768387
T0000937,A00039,M015,03/11/24,-117.57,PURCHASE 223384
T0001970,A00089,M019,,$-166.59,  PURCHASE 631164  
T0001386,A00049,M020,12/23/24,,  PURCHASE 450081  
T0002555,A00023,M024,2025-06-25,$-92.70,PURCHASE 567595
T0000359,A00010,M031,12/09/2024,(249.31),PURCHASE 584567
T0000905,A00037,M020,01/28/2025,-137.13,PURCHASE 170176
T0002451,A00064,M021,2024-11-18,(283.12),PURCHASE 720623
T0002301,A00022,M031,06/21/2025,"2,580.55",PAYROLL DEP 856668
T0001401,A00017,M013,05/01/2025,$-412.90,PURCHASE 620103
T0000928,A00076,M021,06/02/25,-63.49,  PURCHASE 955908  
T0000771,A00084,M005,2024-12-20,-195.63,PURCHASE 133833
T0000504,A00063,M004,24-Jun-2024,-253.14,PURCHASE 448176
T0002047,A00034,M031,2024-08-24,"4,086.79",PAYROLL DEP 493706
T0001223,A00077,M017,01/03/25,-321.56,  PURCHASE 386270  
T0001627,A00043,M023,15-Aug-2024,-345.84,PURCHASE 180058
T0002398,A00047,M009,2024-12-14,-199.94,  PURCHASE 698401  
T0002971,A00012,M027,05/24/25,$-353.34,PURCHASE 153365
T0003044,A00036,M014,03/01/24,-219.69,PURCHASE 741684
T0002372,A00029,M021,12-Jul-2024,-33.71,PURCHASE 731408
T0002537,A00050,M022,05-Aug-2024, -125.62 ,PURCHASE 630348
T0002323,A00043,M028,11-Jul-2024,-60.58,PURCHASE 459971
T0000560,A00033,M015,10/02/2024, (276.67) ,PURCHASE 843670
T0000711,A00073,M026,2024-04-29,-35.97,PURCHASE 761257
T0002253,A00045,M026,01/12/24,-357.30,PURCHASE 578919
T0001823,A00084,M006,07/23/24,-251.69,PURCHASE 889886
T0000368,A00019,M003,2024-05-08,$(180.14),PURCHASE 305888
T0002550,A00054,M029,12/16/24,-91.64,  PURCHASE 329342  
T0002659,A00030,M013,08/02/2024,(185.61),PURCHASE 595084
T0000568,A00087,,07-Jan-2025,-43.40,PURCHASE 478939
T0000489,A00016,M007,2025-02-04,-398.60,PURCHASE 770043
T0002878,A00021,M022,12/01/2024,-394.18,PURCHASE 379866
T0001899,A00023,M004,02-Jan-2024,$-222.73,PURCHASE 547840
T0000736,A00057,M029,01/01/24,-407.42,PURCHASE 896925
T0000156,A00068,M009,2024-04-13,-262.71,PURCHASE 396439
T0003095,A00034,M021,25-Jul-2024,-286.67,PURCHASE 793041
T0001976,A00069,M023,06/28/25,(44.58),PURCHASE 620462
T0001244,A00027,M025,2024-06-14, -232.65 ,PURCHASE 860801
T0001617,A00090,M028,19-Nov-2024,$-336.37,PURCHASE 588652
T0001367,A00055,M020,18-Feb-2024,-41.68,PURCHASE 473945
T0000214,A00075,M024,04/02/24,-349.01,PURCHASE 303974
T0001188,A00013,M004,06/28/24,-283.12,PURCHASE 381390
T0000035,A00011,M031,09-Jul-2024,"$2,946.18",  PAYROLL DEP 525187  
T0001758,A00084,M030,2025-03-06,-93.52,PURCHASE 161040
T0000046,A00070,M010,05/23/2024,-100.65,PURCHASE 348411
T0002208,A00044,M031,12/24/24,"4,926.09",PAYROLL DEP 558713
T0003184,A00040,M014,18-Nov-2024,(300.08),PURCHASE 213927
T0001520,A00033,M013,03/03/2024, -321.17 ,PURCHASE 948910
T0001130,A00083,M017,04/21/2025,-363.13,PURCHASE 799764
T0000624,A00056,M026,02/04/25,$-12.16,PURCHASE 428817
T0000462,A00063,M018,27-May-2025,-83.80,PURCHASE 882209
T0001554,A00049,M006,01-Sep-2024,(363.24),PURCHASE 734407
T0002046,A00089,M011,2024-02-26,-179.86,  PURCHASE 908783  
T0000282,A00035,M024,2024-06-30,$(244.43),PURCHASE 170953
T0000090,A00078,M031,06/18/2024," 3,927.05 ",PAYROLL DEP 323788
T0001378,A00042,M021,25-Jun-2025,-256.72,PURCHASE 654823
T0001149,A00035,M031,04-Jan-2025,$-117.90,PURCHASE 692583
T0002120,A00052,M025,09/01/24,-413.04,PURCHASE 701283
T0001816,A00059,M019,,$-164.59,PURCHASE 342563
T0000047,A00038,M009,14-Aug-2024,-28.42,PURCHASE 619696
T0000799,A00054,M024,11/29/24,-86.17,PURCHASE 441293
T0000773,A00092,M010,01/24/24,-235.04,PURCHASE 990941
T0002865,A00045,M031,2024-11-24, -135.39 ,PURCHASE 228184
T0001852,A00073,M001,11/27/2024,-272.26,PURCHASE 459824
T0002963,A00087,M020,05/14/2024,(305.80),  PURCHASE 371523  
T0001843,A00082,M018,03-Nov-2024,-255.08,PURCHASE 652400
T0001769,A00029,M012,07/11/24,-403.15,  PURCHASE 405039  
T0000037,A00071,M004,29-Aug-2024,-197.07,PURCHASE 823821
T0000690,A00091,M031,06/15/2025, $-162.00 ,PURCHASE 387721
T0000604,A00031,M021,02/13/24,-26.79,PURCHASE 494077
T0001576,A00055,M026,04/02/2024, -42.15 ,PURCHASE 368079
T0000086,A00044,M013,10/02/24,$-191.48,PURCHASE 486999
T0000514,A00024,M002,13-Mar-2024,$-416.86,PURCHASE 908735
T0000676,A00016,M031,01/24/2024,-123.89,PURCHASE 402062
T0002077,A00015,M006,2025-01-08,-21.85,  PURCHASE 736765  
T0000268,A00016,M007,04/04/25,$-275.08,PURCHASE 649249
T0002633,A00004,M007,08/18/24,$-146.88,PURCHASE 875568
T0001609,A00090,M020,01/02/2024,-107.66,PURCHASE 470959
T0000757,A00064,M029,2025-02-13,-121.09,PURCHASE 802416
T0002447,A00055,M031,28-Feb-2024,-97.90,PURCHASE 718543
T0001314,A00077,M014,05-May-2024,-329.64,PURCHASE 739287
T0000328,A00040,M022,06/19/25, $-365.87 ,PURCHASE 612643
T0001029,A00017,M018,15-Mar-2024, $-187.01 ,PURCHASE 716038
T0003049,A00046,M018,01/31/25,-195.31,PURCHASE 636107
T0002484,A00046,M022,28-Mar-2025,-236.41,PURCHASE 976535
T0002098,A00064,M007,05/14/2025, -243.42 ,PURCHASE 828006
T0000875,A00084,M005,08/20/24,-353.34,PURCHASE 565455
T0002459,A00031,M031,09/08/24,"$3,252.27",  PAYROLL DEP 242309  
T0001777,A00091,M016,01/24/25,-332.01,PURCHASE 168769
T0000182,A00047,M018,06/27/2025,(346.48),PURCHASE 743512
T0001379,A00037,M007,2024-09-29,(180.41),PURCHASE 291076
T0000838,A00074,M002,10/10/24,-138.32,PURCHASE 673862
T0002554,A00064,M015,24-Dec-2024,$-163.29,PURCHASE 203523
T0001973,A00058,M024,04/22/2025,(10.47),PURCHASE 279107
T0002009,A00036,M009,09/23/24,-238.31,PURCHASE 688446
T0002884,A00081,M004,03-Jul-2024,(284.99),  PURCHASE 350043  
T0003209,A99999,M020,08/10/24,-55.28,PURCHASE ORPHAN
T0002172,A00004,M019,11-Jul-2024,-258.23,PURCHASE 462146
T0000327,A00018,M031,11/11/2024, $-350.88 ,PURCHASE 144894
T0001856,A00067,M003,01/20/2024,-12.06,  PURCHASE 188142  
T0001875,A00005,M007,05-May-2025,-40.60,PURCHASE 639090
T0000161,A00059,M021,05/04/25,(372.51),PURCHASE 208751
T0000819,A00013,M005,12-May-2024,(97.06),PURCHASE 337212
T0001344,A00006,M028,11-Apr-2024,$-214.88,PURCHASE 166375
T0000416,A00037,M016,01/11/25, -188.75 ,PURCHASE 486123
T0002433,A00053,M020,06/19/25,-374.64,PURCHASE 576006
T0002536,A00011,M029,2024-11-08,-58.50,PURCHASE 444374
T0001101,A00032,M022,02/12/25, $(263.71) ,PURCHASE 477861
T0000998,A00024,M029,05-Mar-2024,-176.99,PURCHASE 333727
T0000340,A00038,M007,05/15/2025,-249.69,PURCHASE 443194
T0000585,A00006,M010,2024-11-04,-148.28,PURCHASE 845859
T0000325,A00088,M028,04/02/2024,-403.71,PURCHASE 141241
T0002906,A00031,M021,26-Feb-2024,-153.77,  PURCHASE 607872  
T0000033,A00086,M013,2024-02-07,-331.58,PURCHASE 412886
T0003101,A00068,M030,05/28/24,-217.84,PURCHASE 664061
T0002841,A00049,M003,01/09/2025,-49.02,PURCHASE 198825
T0001358,A00063,M016,2024-02-23,-384.13,PURCHASE 942683
T0001591,A00045,M024,09/25/24,-32.60,PURCHASE 648110
T0002249,A00064,M005,2024-03-01,-95.22,PURCHASE 629421
T0002508,A00045,M011,01-Apr-2024,-148.57,PURCHASE 313210
T0001332,A00067,M021,2024-06-09,(37.91),PURCHASE 410454
T0001300,A00016,M031,09/25/2024, $-388.04 ,PURCHASE 741714
T0001949,A00034,M008,,-81.98,PURCHASE 706274
T0000959,A00045,M030,06/18/2024,-94.88,  PURCHASE 505487  
T0001508,A00015,M013,13-Jan-2025,$-354.14,  PURCHASE 640769  
T0003093,A00092,M003,15-May-2024,-17.87,  PURCHASE 480828  
T0002702,A00087,M021,2024-07-25,-190.45,PURCHASE 537267
T0000675,A00025,M015,2024-05-21,$(181.27),PURCHASE 223655
T0001049,A00088,M016,06/30/2024,-210.85,PURCHASE 167282
T0002445,A00089,M017,01/17/2024,$-196.15,PURCHASE 399122
T0001831,A00037,M025,2024-11-17,-24.98,PURCHASE 872672
T0000774,A00089,M006,23-Oct-2024,-322.79,PURCHASE 728357
T0002870,A00070,M029,11-Mar-2025,-125.54,  PURCHASE 335212  
T0003062,A00083,M021,11/13/2024,$-390.77,PURCHASE 463054
T0000460,A00072,M012,09-Jan-2024,$-393.42,PURCHASE 475202
T0000459,A00020,M021,24-Mar-2024,-274.58,PURCHASE 952262
T0003061,A00032,M007,02/04/2024, -37.82 ,PURCHASE 685510
T0001889,A00081,M031,2024-07-14,(53.91),PURCHASE 447270
T0000623,A00007,M019,01/24/24,$-364.51,PURCHASE 289401
T0001206,A00003,M016,10/02/2024,-20.50,PURCHASE 312129
T0001892,A00049,M004,09/22/24,-378.54,PURCHASE 616043
T0000903,A00074,M023,02-Aug-2024,-100.34,PURCHASE 681955
T0001140,A00028,M025,05/23/25,$(43.52),PURCHASE 442505
T0001752,A00060,M001,06/04/24,-213.13,PURCHASE 591495
T0001109,A00045,M011,2024-04-20,(87.36),PURCHASE 863197
T0002367,A00037,M007,21-Feb-2024,$-121.61,PURCHASE 106829
T0000361,A00055,M022,2025-04-28,-375.25,PURCHASE 390683
T0002729,A00024,M012,04/02/25,-34.51,PURCHASE 975677
T0001497,A00081,M003,2024-07-03, (357.90) ,PURCHASE 283504
T0000130,A00078,M009,10-Jul-2024,-186.37,PURCHASE 201400
T0001818,A00040,M006,04/26/2024, $-204.23 ,PURCHASE 152302
T0002227,A00077,M017,2024-07-28,,PURCHASE 200703
T0002237,A00045,M015,22-Sep-2024, (182.44) ,  PURCHASE 286037  
T0001910,A00001,M013,06-Dec-2024,-388.80,PURCHASE 845115
T0002282,A00045,M031,10-Feb-2025,"$2,728.76",PAYROLL DEP 315570
T0001680,A00040,M030,05-Jan-2024,$(220.15),  PURCHASE 992426  
T0000513,A00052,M031,05-Jan-2024,"3,502.38",PAYROLL DEP 491270
T0003042,A00091,M031,12/06/24,"$2,719.08",PAYROLL DEP 490111
T0001039,A00033,M008,2024-08-25,-381.64,PURCHASE 455584
T0002747,A00055,M027,2025-04-26,(315.08),  PURCHASE 240720  
T0000785,A00015,M008,01/28/25,-14.68,PURCHASE 881668
T0000650,A00016,M012,04/08/25, -415.74 ,  PURCHASE 844653  
T0001087,A00044,M007,19-Dec-2024,$-94.01,  PURCHASE 276888  
T0002731,A00060,M003,10-Oct-2024,-136.37,PURCHASE 247993
T0000292,A00038,M002,15-May-2024,$-194.56,PURCHASE 723155
T0002089,A00037,M013,04/22/2025,$-42.16,PURCHASE 102741
T0001513,A00034,M017,2025-06-15,$-314.31,PURCHASE 704886
T0000845,A00028,M029,02/13/2025,-379.28,PURCHASE 552266
T0000620,A00090,M026,24-Aug-2024,-55.68,PURCHASE 978012
T0002793,A00065,M028,12/20/24,(154.04),  PURCHASE 376767  
T0001566,A00084,M006,2024-05-15,-106.50,PURCHASE 244564
T0002276,A00001,M019,13-May-2024,-249.35,PURCHASE 233760
T0001418,A00061,M001,2024-01-03,-231.74,  PURCHASE 722585  
T0000347,A00069,M009,30-May-2025,-25.71,PURCHASE 657742
T0000078,A00045,M023,06/25/2024,-336.86,PURCHASE 222629
T0001545,A00018,M019,04/26/2025,-258.58,PURCHASE 799535
T0001371,A00090,M003,07/07/24,-133.71,PURCHASE 443343
T0000039,A00083,M017,03/24/2024,$-296.47,PURCHASE 700521
T0001241,A00089,M015,03/31/24,$-94.72,PURCHASE 578715
T0000884,A00021,M019,05/18/2025,(146.38),  PURCHASE 810277  
T0001535,A00009,M025,01/01/24,(125.45),PURCHASE 472097
T0001787,A00031,M027,06/01/2024,-284.74,PURCHASE 619999
T0000955,A00001,M016,2025-03-13,$-251.23,PURCHASE 940223
T0000346,A00056,M008,05/21/2024,-228.03,PURCHASE 889759
T0002890,A00025,M017,05/10/2025,-316.84,PURCHASE 854491
T0000290,A00084,M003,2024-02-02,-210.27,PURCHASE 217683
T0002924,A00050,M012,26-Feb-2024,-418.34,PURCHASE 395881
T0002481,A00039,M013,2024-06-29,-174.93,PURCHASE 209454
T0002504,A00041,M022,06/22/2025,$-117.94,PURCHASE 311989
T0001857,A00015,M005,05/30/25,-381.03,  PURCHASE 326738  
T0000458,A00045,M031,12/02/24,"4,152.27",PAYROLL DEP 533232
T0000575,A00001,,11-Sep-2024,-225.93,PURCHASE 839730
T0001331,A00031,M031,10-Jun-2025,"4,074.00",PAYROLL DEP 992687
T0001647,A00075,M009,2024-09-15,(160.61),PURCHASE 256045
T0002918,A00019,M025,01/28/25,-363.26,PURCHASE 885148
T0001521,A00013,M019,03/23/2024,-343.44,PURCHASE 906841
T0000812,A00084,M003,2025-03-01,,PURCHASE 942438
T0001603,A00032,M027,05/27/24, -87.12 ,PURCHASE 977131
T0000038,A00067,M016,08/12/2024,-66.88,PURCHASE 663628
T0001153,A00081,M031,08-Feb-2024," 4,027.35 ",PAYROLL DEP 894073
T0002220,A00045,M022,24-Apr-2025,$-283.28,PURCHASE 199198
T0000817,A00054,M004,06/21/25,(9.23),  PURCHASE 535239  
